# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)	mx ()	my ()	mz ()	maxTorque (T)
0	4.3655746e-10	-2.910383e-10	0.99997777	596842.06	4.3655746e-10	-2.910383e-10	0.9999777	6.519965e-07
0	2.6739144e-10	-1.891749e-10	0.99998087	596842.06	2.6739144e-10	-3.0559022e-10	0.99998087	4.5267578e-07
0	1.9826984e-10	-2.1827873e-10	0.9999832	596842.06	1.9826984e-10	-2.764864e-10	0.9999832	9.4498444e-07
0	1.6825652e-10	-1.0186341e-10	0.99998504	596842.06	1.6825652e-10	-1.0186341e-10	0.99998504	4.8781317e-07
0	2.237357e-10	-1.4551915e-10	0.9999865	596842.06	2.237357e-10	-2.0372681e-10	0.99998647	1.0432693e-05
0	1.7735147e-10	-1.1641532e-10	0.9999878	596842.06	1.7735147e-10	-1.7462298e-10	0.9999877	4.6506477e-07
0	1.6916601e-10	-2.910383e-11	0.9999888	596842.06	1.6916601e-10	-2.1827873e-11	0.9999888	2.9081335e-07
0	8.3127816e-10	-2.910383e-10	0.9999693	608947.44	8.3127816e-10	-3.2014214e-10	0.9999693	4.1090397e-07
0	7.0940587e-10	-4.656613e-10	0.9999747	608947.44	7.0940587e-10	-4.656613e-10	0.9999747	2.6727819e-06
0	3.6379788e-10	-4.656613e-10	0.99997854	608947.44	3.6379788e-10	-4.656613e-10	0.9999784	1.8833839e-07
0	3.4742698e-10	-4.3655746e-11	0.9999814	608947.44	3.4742698e-10	-1.0186341e-10	0.9999814	4.7387834e-07
0	2.0190782e-10	-1.1641532e-10	0.99998355	608947.44	2.0190782e-10	-5.820766e-11	0.99998355	1.2401887e-06
0	1.6279955e-10	-4.3655746e-11	0.99998546	608947.44	1.6279955e-10	0	0.99998546	7.248608e-08
0	9.1858965e-11	-4.3655746e-11	0.99998695	608947.44	9.1858965e-11	-1.0186341e-10	0.9999868	1.2339866e-06
0	1.7371349e-10	-1.2369128e-10	0.99998796	608947.44	1.7371349e-10	-1.2369128e-10	0.99998796	1.0337369e-06
0	1.382432e-10	-1.4551915e-11	0.99998903	608947.44	1.382432e-10	-2.1827873e-11	0.99998903	5.673872e-07
0	1.1004886e-10	-1.4551915e-11	0.99998987	608947.44	1.1004886e-10	-8.0035534e-11	0.9999899	6.8088e-06
0	4.4019544e-10	-4.0745363e-10	0.9999757	621052.56	4.4019544e-10	-4.0745363e-10	0.99997574	9.590598e-06
0	3.4015102e-10	-1.7462298e-10	0.99997914	621052.56	3.4015102e-10	-1.7462298e-10	0.99997914	1.9361285e-06
0	2.8740033e-10	-8.731149e-11	0.9999819	621052.56	2.8740033e-10	-8.731149e-11	0.9999819	4.5513536e-07
0	1.6007107e-10	-1.1641532e-10	0.999984	621052.56	1.6007107e-10	-1.1641532e-10	0.9999841	5.7516985e-07
0	1.5097612e-10	-1.6007107e-10	0.99998564	621052.56	1.5097612e-10	-1.6007107e-10	0.9999857	2.2988624e-07
0	1.3096724e-10	-4.3655746e-11	0.9999871	621052.56	1.3096724e-10	-4.3655746e-11	0.9999871	4.916246e-07
0	1.8553692e-10	0	0.9999882	621052.56	1.8553692e-10	0	0.9999884	4.865398e-07
0	1.2551027e-10	-3.6379788e-11	0.99998915	621052.56	1.2551027e-10	-4.3655746e-11	0.99998915	2.8422193e-07
0	1.3551471e-10	-1.3096724e-10	0.99999005	621052.56	1.3551471e-10	-1.3096724e-10	0.99999017	3.6929215e-08
0	9.913492e-11	3.6379788e-11	0.9999908	621052.56	9.913492e-11	-2.1827873e-11	0.9999908	4.946285e-06
0	3.8744474e-10	-1.891749e-10	0.99997985	633157.94	3.8744474e-10	-1.891749e-10	0.99997973	2.386838e-07
0	2.0372681e-10	-1.4551915e-11	0.9999824	633157.94	2.0372681e-10	-1.4551915e-11	0.99998236	3.9902338e-07
0	1.8189894e-10	-2.1827873e-10	0.9999844	633157.94	1.8189894e-10	-1.7462298e-10	0.9999844	3.512681e-07
0	1.4460966e-10	-2.910383e-11	0.99998605	633157.94	1.4460966e-10	-2.910383e-11	0.99998605	5.634311e-07
0	8.0035534e-11	-8.731149e-11	0.9999873	633157.94	8.0035534e-11	-8.731149e-11	0.99998736	9.0852626e-07
0	2.4283509e-10	-7.275958e-12	0.9999885	633157.94	2.4283509e-10	-7.275958e-12	0.9999885	1.0328895e-06
0	1.1368684e-10	-1.7462298e-10	0.9999894	633157.94	1.1368684e-10	-1.1641532e-10	0.9999894	2.2539616e-07
0	1.2460077e-10	8.731149e-11	0.9999902	633157.94	1.2460077e-10	8.731149e-11	0.9999902	2.3913282e-07
0	1.09139364e-10	-2.910383e-11	0.999991	633157.94	1.09139364e-10	-4.3655746e-11	0.999991	2.273913e-07
0	1.05501385e-10	-1.1641532e-10	0.99999166	633157.94	1.05501385e-10	-5.820766e-11	0.99999166	2.1095047e-07
0	2.0736479e-10	-2.910383e-10	0.99998283	645263.2	2.0736479e-10	-3.4924597e-10	0.99998283	3.7428663e-07
0	2.0736479e-10	-1.1641532e-10	0.9999848	645263.2	2.0736479e-10	-1.1641532e-10	0.9999848	1.6852137e-07
0	1.546141e-10	-2.764864e-10	0.9999863	645263.2	1.546141e-10	-2.764864e-10	0.9999863	1.08003846e-07
0	1.7462298e-10	0	0.9999876	645263.2	1.7462298e-10	0	0.9999876	3.2520788e-07
0	1.537046e-10	-2.910383e-11	0.99998873	645263.2	1.537046e-10	-2.910383e-11	0.9999886	8.732308e-07
0	1.5006663e-10	-5.820766e-11	0.9999896	645263.2	1.5006663e-10	0	0.99998957	1.291602e-06
0	1.6552804e-10	-2.910383e-11	0.9999904	645263.2	1.6552804e-10	-2.910383e-11	0.9999904	1.7301418e-05
0	3.0013325e-11	1.4551915e-11	0.99999106	645263.2	3.0013325e-11	2.910383e-11	0.999991	1.0281425e-06
0	1.03682396e-10	-3.6379788e-11	0.99999166	645263.2	1.03682396e-10	-2.1827873e-11	0.99999166	6.6061205e-07
0	9.640644e-11	7.275958e-12	0.99999225	645263.2	9.640644e-11	7.275958e-12	0.99999225	8.4311495e-07
0	1.3460522e-10	-5.820766e-11	0.99998516	657368.44	1.3460522e-10	-5.820766e-11	0.9999851	2.6699487e-07
0	1.9917934e-10	-2.6193447e-10	0.9999865	657368.44	1.9917934e-10	-2.6193447e-10	0.9999865	1.1082905e-05
0	1.209628e-10	4.3655746e-11	0.99998784	657368.44	1.209628e-10	4.3655746e-11	0.99998784	9.46978e-08
0	1.5643309e-10	-5.820766e-11	0.99998885	657368.44	1.5643309e-10	-5.820766e-11	0.99998885	5.5903435e-08
0	5.820766e-11	-2.1827873e-11	0.99998987	657368.44	5.820766e-11	-2.1827873e-11	0.99998987	1.7383004e-06
0	9.731593e-11	-1.4551915e-10	0.9999906	657368.44	9.731593e-11	-1.4551915e-10	0.9999906	1.0647825e-06
0	6.730261e-11	-1.4551915e-10	0.99999124	657368.44	6.730261e-11	-1.1641532e-10	0.99999124	7.746622e-07
0	9.5496944e-11	-1.7462298e-10	0.99999183	657368.44	9.5496944e-11	-1.7462298e-10	0.99999183	3.2831474e-07
0	1.07320375e-10	-7.275958e-12	0.9999924	657368.44	1.07320375e-10	-2.5465852e-11	0.99999243	6.018704e-07
0	9.1858965e-11	6.548362e-11	0.9999928	657368.44	9.1858965e-11	3.6379788e-11	0.9999928	6.4534794e-07
0	9.094947e-11	-1.4551915e-11	0.99998695	669473.7	9.094947e-11	0	0.99998695	4.164303e-07
0	2.1464075e-10	-1.7462298e-10	0.9999881	669473.7	2.1464075e-10	-1.5279511e-10	0.9999881	1.0670823e-06
0	1.5916157e-10	-7.275958e-12	0.99998903	669473.7	1.5916157e-10	-2.910383e-11	0.99998915	6.640282e-08
0	1.5188562e-10	-7.2759576e-11	0.99999	669473.7	1.5188562e-10	-7.2759576e-11	0.99999	2.5285143e-08
0	1.1368684e-10	-5.0931703e-11	0.9999907	669473.7	1.1368684e-10	-5.0931703e-11	0.9999907	2.1989007e-07
0	7.912604e-11	-5.0931703e-11	0.9999914	669473.7	7.912604e-11	-5.0931703e-11	0.9999914	2.1518807e-07
0	7.8216544e-11	2.910383e-11	0.99999195	669473.7	7.8216544e-11	2.910383e-11	0.99999195	3.6270595e-07
0	6.639311e-11	-1.0186341e-10	0.99999243	669473.7	6.639311e-11	-7.6397555e-11	0.99999243	3.5195883e-06
0	8.731149e-11	-1.2732926e-10	0.99999297	669473.7	8.731149e-11	-1.0186341e-10	0.99999297	3.1127044e-08
0	5.002221e-11	-2.1827873e-11	0.9999934	669473.7	5.002221e-11	-2.1827873e-11	0.99999326	1.0133681e-06
0	2.1555024e-10	1.4551915e-11	0.9999883	681578.94	2.1555024e-10	1.4551915e-11	0.9999884	3.2989362e-07
0	1.1368684e-10	4.3655746e-11	0.9999893	681578.94	1.1368684e-10	4.3655746e-11	0.9999893	2.5225776e-07
0	1.3915269e-10	2.910383e-11	0.9999901	681578.94	1.3915269e-10	2.910383e-11	0.99999017	7.9306614e-07
0	9.1858965e-11	2.910383e-11	0.9999908	681578.94	9.1858965e-11	2.910383e-11	0.9999909	4.8545846e-08
0	1.09139364e-10	-1.4551915e-11	0.9999915	681578.94	1.09139364e-10	-1.4551915e-11	0.9999915	3.3065345e-07
0	1.2369128e-10	5.820766e-11	0.99999195	681578.94	1.2369128e-10	5.820766e-11	0.999992	1.2545708e-07
0	7.003109e-11	-2.910383e-11	0.9999926	681578.94	7.003109e-11	-3.6379788e-11	0.9999926	5.527759e-07
0	5.1841198e-11	3.637979e-12	0.99999297	681578.94	5.1841198e-11	3.637979e-12	0.99999297	3.170802e-07
0	7.730705e-11	3.637979e-12	0.99999344	681578.94	7.730705e-11	3.637979e-12	0.99999344	1.6124278e-07
0	3.9108272e-11	-1.4551915e-11	0.99999374	681578.94	3.9108272e-11	1.4551915e-11	0.99999374	4.6921764e-06
0	1.4097168e-10	-2.910383e-11	0.9999894	693684.2	1.4097168e-10	-2.910383e-11	0.9999894	3.7059044e-07
0	1.8189894e-10	-1.382432e-10	0.9999902	693684.2	1.8189894e-10	-1.382432e-10	0.9999903	1.588662e-07
0	8.8220986e-11	-2.910383e-11	0.999991	693684.2	8.8220986e-11	-2.910383e-11	0.999991	1.1266352e-05
0	8.185452e-11	-4.3655746e-11	0.99999166	693684.2	8.185452e-11	-4.3655746e-11	0.99999166	5.7864497e-08
0	1.0186341e-10	-1.0913936e-11	0.99999225	693684.2	1.0186341e-10	-1.0913936e-11	0.99999225	6.4238867e-07
0	4.3655746e-11	3.6379788e-11	0.9999926	693684.2	4.3655746e-11	3.6379788e-11	0.9999926	4.444692e-07
0	6.82121e-11	-2.1827873e-11	0.99999297	693684.2	6.82121e-11	-2.910383e-11	0.99999297	2.3499244e-07
0	5.002221e-11	-1.8189894e-11	0.99999344	693684.2	5.002221e-11	7.275958e-12	0.99999344	1.6215196e-07
0	3.6379788e-11	-7.2759576e-11	0.9999938	693684.2	3.6379788e-11	-5.820766e-11	0.9999938	7.0121523e-06
0	5.4569682e-11	-3.274181e-11	0.9999942	693684.2	5.4569682e-11	-5.0931703e-11	0.9999942	2.0814412e-06
0	6.2755134e-11	-3.6379788e-11	0.99999046	705789.5	6.2755134e-11	0	0.9999904	1.0001233e-06
0	1.364242e-10	-1.4551915e-11	0.99999106	705789.5	1.364242e-10	-1.4551915e-11	0.99999106	1.6236072e-07
0	7.912604e-11	-1.3096724e-10	0.9999917	705789.5	7.912604e-11	-1.3096724e-10	0.9999917	1.7620122e-06
0	9.1858965e-11	-1.8189894e-11	0.99999225	705789.5	9.1858965e-11	-1.8189894e-11	0.99999225	3.9851436e-08
0	6.0936145e-11	-8.0035534e-11	0.9999927	705789.5	6.0936145e-11	-8.0035534e-11	0.9999927	1.1611754e-06
0	4.3655746e-11	-6.548362e-11	0.9999932	705789.5	4.3655746e-11	-5.0931703e-11	0.9999932	9.750662e-07
0	6.730261e-11	-5.820766e-11	0.99999356	705789.5	6.730261e-11	-5.820766e-11	0.99999356	5.7664664e-07
0	4.3655746e-11	-6.548362e-11	0.9999939	705789.5	4.3655746e-11	-8.731149e-11	0.9999939	3.0887423e-07
0	5.7298166e-11	-3.6379788e-11	0.9999942	705789.5	5.7298166e-11	-1.4551915e-11	0.9999942	3.2535883e-07
0	4.1836756e-11	-1.0186341e-10	0.9999945	705789.5	4.1836756e-11	-7.2759576e-11	0.9999946	3.4384946e-08
0	5.9117156e-11	-1.5279511e-10	0.99999124	717894.75	5.9117156e-11	-1.3096724e-10	0.9999912	8.194723e-06
0	5.4569682e-11	-2.1827873e-11	0.99999183	717894.75	5.4569682e-11	-2.1827873e-11	0.99999183	3.6916805e-07
0	8.185452e-11	-2.1827873e-11	0.99999243	717894.75	8.185452e-11	0	0.99999243	9.875748e-06
0	7.8216544e-11	0	0.9999928	717894.75	7.8216544e-11	0	0.9999928	3.9936504e-07
0	7.185008e-11	-1.382432e-10	0.99999326	717894.75	7.185008e-11	-1.382432e-10	0.99999326	7.379736e-08
0	7.8216544e-11	-5.0931703e-11	0.9999936	717894.75	7.8216544e-11	-5.0931703e-11	0.9999936	1.2381031e-07
0	3.092282e-11	1.4551915e-11	0.99999404	717894.75	3.092282e-11	4.0017767e-11	0.99999404	6.356798e-08
0	7.2759576e-11	-1.8189894e-11	0.9999943	717894.75	7.2759576e-11	-1.8189894e-11	0.9999943	7.681625e-07
0	4.0017767e-11	-4.3655746e-11	0.9999946	717894.75	4.0017767e-11	-4.3655746e-11	0.9999946	1.1807919e-07
0	1.9099389e-11	-4.0017767e-11	0.9999949	717894.75	1.9099389e-11	-1.2732926e-11	0.9999949	1.2851816e-06
0	9.458745e-11	-1.4551915e-11	0.99999195	730000	9.458745e-11	-1.4551915e-11	0.99999195	4.7517762e-08
0	6.184564e-11	-1.5643309e-10	0.99999243	730000	6.184564e-11	-1.5643309e-10	0.99999243	7.1726674e-07
0	9.3677954e-11	-9.094947e-11	0.99999297	730000	9.3677954e-11	-9.094947e-11	0.99999297	9.681466e-06
0	3.092282e-11	-1.0913936e-11	0.99999326	730000	3.092282e-11	-3.637979e-12	0.99999326	1.5766497e-07
0	4.456524e-11	1.4551915e-11	0.99999374	730000	4.456524e-11	-1.4438228e-11	0.9999936	4.1530615e-07
0	1.72804e-11	-3.6379788e-11	0.99999404	730000	1.72804e-11	-3.6379788e-11	0.99999404	1.4482993e-07
0	6.2755134e-11	2.1827873e-11	0.9999944	730000	6.2755134e-11	2.1827873e-11	0.9999944	1.1840801e-07
0	2.8194336e-11	-3.6379788e-11	0.9999946	730000	2.8194336e-11	2.1827873e-11	0.9999946	4.0681277e-07
0	3.092282e-11	-1.6370905e-11	0.9999949	730000	3.092282e-11	-1.6370905e-11	0.9999949	3.8558298e-08
0	2.910383e-11	-6.002665e-11	0.9999952	730000	2.910383e-11	-5.0931703e-11	0.9999952	3.1967377e-07
