# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	Ku1 (J/m3)
0	3.092282e-10	-3.2014214e-10	0.9999804	0	0	-0.11000001	730000
0	3.7471182e-10	-2.6193447e-10	0.99997884	0	0	-0.12	730000
0	4.5474735e-10	-8.731149e-11	0.9999771	0	0	-0.13	730000
0	4.965841e-10	-2.3283064e-10	0.9999752	0	0	-0.14	730000
0	8.203642e-10	-5.2386895e-10	0.9999729	0	0	-0.14999999	730000
0	9.058567e-10	-1.0477379e-09	0.99996996	0	0	-0.15999998	730000
0	7.421477e-10	-2.3283064e-10	0.99996644	0	0	-0.16999999	730000
0	1.4024408e-09	-1.1641532e-09	0.99996215	0	0	-0.18	730000
0	1.7571438e-09	-1.2805685e-09	0.9999565	0	0	-0.19	730000
0	2.3046596e-09	-1.3387762e-09	0.999949	0	0	-0.20000002	730000
0	3.5506673e-09	-3.259629e-09	0.9999385	0	0	-0.21000001	730000
0	6.6374923e-09	-3.7252903e-09	0.99992263	0	0	-0.22000001	730000
0	1.5403202e-08	-1.7345883e-08	0.99989676	0	0	-0.23	730000
0	8.5448846e-08	-7.194467e-08	0.99984837	0	0	-0.24	730000
0	4.438054e-06	-3.6743004e-06	0.99973583	0	0	-0.25	730000
0	0.00037915196	-0.00031382637	0.9993668	0	0	-0.26	730000
0	0.0026434462	-0.0021880069	0.99858546	0	0	-0.27	730000
0	3.4660843e-09	-3.1941454e-09	-0.99999535	0	0	-0.28	730000
0	-3.9108272e-11	3.6379788e-11	-0.9999954	0	0	-0.29	730000
0	-3.7289283e-11	2.5465852e-11	-0.9999955	0	0	-0.29999998	730000
0	-6.730261e-11	-1.0913936e-11	-0.9999955	0	0	-0.30999997	730000
0	-2.0008883e-11	6.548362e-11	-0.9999958	0	0	-0.31999996	730000
0	-3.8198777e-11	9.094947e-12	-0.9999958	0	0	-0.33	730000
0	-1.1823431e-11	-4.7293724e-11	-0.9999959	0	0	-0.33999997	730000
0	-2.0918378e-11	1.8189894e-11	-0.999996	0	0	-0.34999996	730000
0	-3.1832315e-11	5.4569682e-11	-0.99999607	0	0	-0.36	730000
0	-2.2737368e-11	1.0913936e-11	-0.9999962	0	0	-0.37	730000
0	-2.3646862e-11	-3.637979e-12	-0.9999962	0	0	-0.38	730000
0	-3.274181e-11	0	-0.9999963	0	0	-0.39	730000
0	-2.3646862e-11	-2.1827873e-11	-0.99999636	0	0	-0.40000004	730000
0	-3.1832315e-11	6.548362e-11	-0.99999636	0	0	-0.41000003	730000
0	-4.274625e-11	-3.637979e-12	-0.9999965	0	0	-0.42000002	730000
0	-2.1827873e-11	5.456968e-12	-0.99999654	0	0	-0.43000004	730000
0	-1.36424205e-11	1.0913936e-11	-0.99999654	0	0	-0.44000003	730000
0	-2.0008883e-11	-1.4551915e-11	-0.99999666	0	0	-0.45000002	730000
0	-3.6379788e-11	1.2732926e-11	-0.99999666	0	0	-0.46	730000
0	-2.5465852e-11	-1.1823431e-11	-0.99999684	0	0	-0.47	730000
0	-2.0918378e-11	1.8189894e-12	-0.99999684	0	0	-0.48	730000
0	-1.2732926e-11	5.4569682e-11	-0.99999696	0	0	-0.49	730000
0	-2.910383e-11	3.637979e-12	-0.99999696	0	0	-0.5	730000
0	-1.8189894e-11	3.8198777e-11	-0.9999968	0	0	-0.5	715555.56
0	-3.6379788e-11	-2.8194336e-11	-0.99999666	0	0	-0.49	715555.56
0	-1.546141e-11	6.184564e-11	-0.9999968	0	0	-0.48	715555.56
0	-2.8194336e-11	-1.8189894e-12	-0.99999654	0	0	-0.47	715555.56
0	-2.8194336e-11	1.6370905e-11	-0.99999654	0	0	-0.46	715555.56
0	-1.0004442e-11	-7.275958e-12	-0.9999965	0	0	-0.45000002	715555.56
0	-1.6370905e-11	2.7284841e-11	-0.99999636	0	0	-0.44000003	715555.56
0	-2.728484e-12	3.637979e-12	-0.99999636	0	0	-0.43000004	715555.56
0	-2.728484e-12	1.0913936e-11	-0.9999963	0	0	-0.42000002	715555.56
0	-1.9099389e-11	2.1827873e-11	-0.9999962	0	0	-0.41000003	715555.56
0	-1.72804e-11	1.0913936e-11	-0.9999962	0	0	-0.40000004	715555.56
0	-1.6370905e-11	-2.1827873e-11	-0.99999607	0	0	-0.39	715555.56
0	-2.910383e-11	-3.274181e-11	-0.999996	0	0	-0.38	715555.56
0	-5.456968e-12	1.6370905e-11	-0.999996	0	0	-0.37	715555.56
0	-3.3651304e-11	1.0913936e-11	-0.9999958	0	0	-0.36	715555.56
0	-2.3646862e-11	1.0913936e-11	-0.9999958	0	0	-0.34999996	715555.56
0	-1.2732926e-11	-3.6379788e-11	-0.9999956	0	0	-0.33999997	715555.56
0	2.728484e-12	1.8189894e-11	-0.9999955	0	0	-0.33	715555.56
0	-4.0017767e-11	4.7293724e-11	-0.9999954	0	0	-0.31999996	715555.56
0	-2.1827873e-11	-1.4551915e-11	-0.99999535	0	0	-0.30999997	715555.56
0	-2.3646862e-11	1.0913936e-11	-0.99999523	0	0	-0.29999998	715555.56
0	-2.5465852e-11	-7.275958e-12	-0.9999952	0	0	-0.29	715555.56
0	-6.366463e-11	-8.0035534e-11	-0.99999505	0	0	-0.28	715555.56
0	-2.8194336e-11	2.1827873e-11	-0.99999493	0	0	-0.27	715555.56
0	-4.638423e-11	-7.275958e-12	-0.99999475	0	0	-0.26	715555.56
0	-4.5474735e-11	-1.0913936e-11	-0.9999946	0	0	-0.25	715555.56
0	-6.82121e-11	7.275958e-12	-0.9999945	0	0	-0.24	715555.56
0	-7.094059e-11	1.0913936e-11	-0.9999944	0	0	-0.23	715555.56
0	-5.0931703e-11	-7.275958e-12	-0.9999942	0	0	-0.22000001	715555.56
0	-3.3651304e-11	6.548362e-11	-0.99999404	0	0	-0.21000001	715555.56
0	-4.820322e-11	-4.3655746e-11	-0.9999939	0	0	-0.20000002	715555.56
0	-3.092282e-11	0	-0.99999374	0	0	-0.19	715555.56
0	-7.4578566e-11	4.3655746e-11	-0.9999935	0	0	-0.18	715555.56
0	-4.456524e-11	-4.0017767e-11	-0.9999934	0	0	-0.16999999	715555.56
0	-3.3651304e-11	-4.3655746e-11	-0.9999931	0	0	-0.15999998	715555.56
