# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	2.6186139e-05	1.0118689e-05	0.99968773	0	0	0.12
0	0.005951115	0.0022989782	0.82637095	0	0	0.11000001
0	0.012979309	0.00500088	0.76411206	0	0	0.10000001
0	0.023880199	0.009096305	0.6994922	0	0	0.09
0	0.0005981596	-0.0017300245	0.5665672	0	0	0.07999999
0	0.00042557018	-0.0012327855	0.50205314	0	0	0.07
0	0.00033131056	-0.00095796364	0.4363171	0	0	0.06
0	0.00025915913	-0.0007486717	0.36936063	0	0	0.050000004
0	0.00020318199	-0.00058653037	0.30115676	0	0	0.039999995
0	0.00016029365	-0.00046171347	0.23166017	0	0	0.03
0	0.00012468826	-0.00035774428	0.16080686	0	0	0.019999998
0	9.5129944e-05	-0.00027204357	0.08842598	0	0	0.009999999
0	6.178394e-05	-0.00017679483	0.0126880305	0	0	0
0	4.4371e-05	-0.00012579831	-0.07216187	0	0	-0.009999999
0	3.56948e-05	-0.00010075758	-0.14463578	0	0	-0.019999998
0	2.925098e-05	-8.22733e-05	-0.21565038	0	0	-0.03
0	2.4531968e-05	-6.876586e-05	-0.28537884	0	0	-0.039999995
0	2.0937994e-05	-5.8584177e-05	-0.35388964	0	0	-0.050000004
0	1.8022489e-05	-5.0352624e-05	-0.42123535	0	0	-0.06
0	1.5577534e-05	-4.3491164e-05	-0.48745352	0	0	-0.07
0	1.34916045e-05	-3.7577993e-05	-0.5525589	0	0	-0.07999999
0	1.1667609e-05	-3.245432e-05	-0.61653525	0	0	-0.09
0	1.0044314e-05	-2.7921313e-05	-0.6793411	0	0	-0.10000001
0	8.550473e-06	-2.3768109e-05	-0.7410285	0	0	-0.11000001
0	3.2726675e-06	-1.0202668e-05	-0.8103894	0	0	-0.12
0	1.9203871e-06	-6.1519095e-06	-0.8663615	0	0	-0.13
0	9.766081e-07	-3.3825054e-06	-0.91903764	0	0	-0.14
0	3.79805e-07	-1.596618e-06	-0.96697116	0	0	-0.14999999
0	-1.6690137e-08	-5.6512363e-08	-0.99996567	0	0	-0.15999998
0	-2.487468e-09	-3.3869583e-09	-0.99997735	0	0	-0.16999999
0	-1.2514647e-09	-3.7107384e-10	-0.9999825	0	0	-0.18
0	-4.956746e-10	-3.5652192e-10	-0.9999854	0	0	-0.19
0	-2.7193892e-10	-1.72804e-10	-0.9999875	0	0	-0.20000002
0	-4.5656634e-10	-1.5643309e-10	-0.999989	0	0	-0.21000001
0	-2.901288e-10	-2.0372681e-10	-0.9999901	0	0	-0.22000001
0	-4.042704e-10	-2.8740033e-10	-0.99999094	0	0	-0.23
0	-2.496563e-10	-2.8740033e-10	-0.9999918	0	0	-0.24
0	-2.6648195e-10	-1.5279511e-10	-0.9999924	0	0	-0.25
0	-2.1327651e-10	-1.882654e-10	-0.9999929	0	0	-0.26
0	-1.0822987e-10	-2.228262e-10	-0.99999344	0	0	-0.27
0	-1.3142198e-10	-1.4370016e-10	-0.9999938	0	0	-0.28
0	-1.5324986e-10	-6.91216e-11	-0.9999943	0	0	-0.29
0	-1.3096724e-10	-8.0035534e-11	-0.99999446	0	0	-0.29999998
0	-9.731593e-11	-2.5465852e-11	-0.99999475	0	0	-0.30999997
0	-1.3460522e-10	-8.913048e-11	-0.9999951	0	0	-0.31999996
0	-9.731593e-11	-1.0004442e-10	-0.9999953	0	0	-0.33
0	-1.2505552e-10	-1.0459189e-10	-0.9999955	0	0	-0.33999997
0	-8.185452e-11	-4.820322e-11	-0.9999958	0	0	-0.34999996
0	-8.1399776e-11	-9.1858965e-11	-0.99999595	0	0	-0.36
0	-9.640644e-11	-9.276846e-11	-0.999996	0	0	-0.37
0	-6.002665e-11	-6.04814e-11	-0.9999962	0	0	-0.38
0	-1.05501385e-10	-8.230927e-11	-0.99999636	0	0	-0.39
0	-9.5496944e-11	-5.820766e-11	-0.9999965	0	0	-0.40000004
0	-7.8216544e-11	-2.728484e-12	-0.9999966	0	0	-0.41000003
0	-6.5938366e-11	-5.5479177e-11	-0.9999968	0	0	-0.42000002
0	-6.4119376e-11	-7.6397555e-11	-0.99999696	0	0	-0.43000004
0	-5.502443e-11	-4.7293724e-11	-0.99999696	0	0	-0.44000003
0	-5.95719e-11	-2.5011104e-11	-0.99999714	0	0	-0.45000002
0	-6.866685e-11	-6.3892e-11	-0.99999714	0	0	-0.46
0	-6.184564e-11	-7.162271e-11	-0.99999726	0	0	-0.47
0	-6.502887e-11	-7.503331e-11	-0.9999974	0	0	-0.48
0	-6.548362e-11	-2.4328983e-11	-0.9999974	0	0	-0.49
0	-4.456524e-11	-5.502443e-11	-0.99999744	0	0	-0.5
